addr,gold
0xbc1883bca3edf2bc6ab17986156ad3ea83e965cc,0.385660
0x0eb9aa34808ca87e82ee2d8f3abfefa397180c1c,0.382895
0x4c6ec2448c243b39cd1e9e6db0f9bf7436c0c93f,0.382787
0xbd16c73a08544d916e53ad1ba342f08d23994776,0.382723
0x95da58cb3a1b96d54d85cc7776ef995cfda12b37,0.379294
0x1fd8c7ad6c65d2ea0ab4a5915ccbbc926f0c900f,0.378487
0x78b7ef9bb376c94fc6ea8a709e4ba3eac832c744,0.378412
0x78aed484c9a7919e2a2452414575a943e8f49131,0.378412
0xd61cb4e035837b388941c58f83f0ffe0bdc141e8,0.375236
0x7084ea983591b6e6a4f1a50f5cb9703caeec6b8e,0.374181
0xeccb9b9c6fb7590a4d0588953b3170a1a84e3341,0.373240
0xdf9dd65b47694baf33781e71298edae5e5455b48,0.372256
0xd7c8895967c49ec54271f80ac374c2225792e318,0.370984
0x9baf99dde60a2f2cc9ec9fcc08b737f804fc5871,0.370428
0x6b8006f6d43cad01bf919ec50e70c7f67d88111a,0.368306
0x49eb7a8c803a839d5466a2d406e5c9fda857938f,0.366063
0x7595d380272fae1d072e1fb71087f9211e9bf0f9,0.365598
0x8a6eeb9b64eeba8d3b4404bf67a7c262c555e25b,0.361778
0x3b373233bf4857aaf8f043520938f0b311e7a8f8,0.357393
0x070ad642ee57717ff89894a871342cebe7242cc7,0.355570
0x5aede5804d4f2bd4a14f61fea1f9c6ee72ba1725,0.353024
0x33df570a3d9d294fa90a19876c215a5276b29385,0.352832
0x342dc44f14d394c89cf6d3ca053ec72851be1d7a,0.352298
0x926019d75eb70f6b3074648261887b2862ac3aba,0.349958
0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,0.349760
0x592671999ffb0660929e1481429631dc4ce48d17,0.349304
0xcf11aad4609a77dbdc4d01db73dd7ab23af033fb,0.349304
0x761fffabd313559d71334e8f816be85ce9fba2a5,0.346255
0xc12a9a1ce910d8d8377d159f7fbed6c9b5d3c4d7,0.346190
0xaaf983a8948e47ec18600010e36f7a08881f224a,0.345884
0x3a71f0695dacde00ccecc622556f711e2b4d50a0,0.344582
0xf5514a48246e7d36dd7d8448be8465d08e4aeda5,0.343318
0xbf5567a738c46cd1ef9157e9e6ff4f7645bf9bef,0.342630
0x3b63bbf52aa94016b61ee8d6809253f915d61411,0.341352
0xe155c3f69fcc12f526f5d23e52c2f1c58a379429,0.340281
0x3385b53a18d7af6087cbe41781418311281633e7,0.337604
0x2c59900b9442b7a865f93219c04f553a0d7bd003,0.335881
0x9c283aa6b1e6676b5ded6c2a6242a80589c59112,0.334749
0xc57d0fb560c9207c4f1390f936eb36ed584337a8,0.332766
0x9193f32b0995815c4ff4a0111d85cfd83bb05247,0.332391
0x64a2ab112ab608a185a7358e7c3d3ce69d824ec0,0.329394
0xe572b22ec298cfb07e732053cc8e4df1d701f06a,0.328927
0xf2463fc94eeb1bfee7bab9cf5ae7a827556a24af,0.324561
0xa72b420062e4ff26daf679c0916b8fb3a7081439,0.324151
0xa993ad31ef46873c0193448dbb2f04c0d3854731,0.323364
0xcadde3b7858ed6b664d8db3ebda876902a58528c,0.317725
0xdad042860abd7d640539877f595110ca1b94b24b,0.312593
0xcadb5437c9609dbd3061e80426181092d4816605,0.311979
0xace3c69a43233d2b99bb4113fd1aefd7cd833abb,0.308908
0xe54b20ba1278228c48e71795078a8d5f0b2c247b,0.308728
0x5529e0608cfc0cab5bb86b59cba7e88f0f66dfef,0.307500
0x890fd5c908347f8d7a2d502ec91adadf16cf4e0c,0.304720
0x8dcac18996dc58b5eebfdc5d0a7b22e0b951a4b7,0.300581
0xb300aa30dd33e1ae849cb69fa23d6ddaf90a69bc,0.296251
0x17084940005fa263650a7065e0e3ff0336732e07,0.295453
0x838a524398c87404db1167b89b9efb48fac08d24,0.295453
0xf0b91986d7e134621e5ccef43984c6e32de30135,0.295307
0xcae7cf92b353e3e15f76693efe6216fd18d71767,0.294987
0x5df3e4167825c63ea60f22103cd3e9e3a9032243,0.293997
0x5ddb49f23a2e5d83f348a0287085056a0612b365,0.293625
0xb7ec5e58e91a3e1acfb4a49ddc21b47a81dbadda,0.291899
0x90082f3260a7963b1f9d20944acebb70d835bd84,0.291377
0x7c2ffb059a5b0a9dad492d57484626bc16cac021,0.291086
0xee1a11675e19baedf94ff49958a892d2c3970cf7,0.291086
0xf7fc644e21ad7641a289c5244b6ab6573e4e6476,0.291086
0xf640890856d172bb45040506d5c513ed3dce6cc2,0.291086
0x4cd0ed63e6074ff4f8fd4ce18bff87f70195127f,0.291086
0xc7d27490c72fe9b75725c97e809777502488873b,0.291086
0x607ce91180ec37cd68f0e0aae428478926aa9b11,0.290506
0x3d40ac1ff6c11ea200a86e9bc761c244149ba5c0,0.288467
0x48802796282aee0af46750125d81d9796777369a,0.287461
0x49b4d6b9418a3cc276991e2bb09f219a961b746e,0.286703
0x50eb42fe63fad9cb6c1ed585ae8951b3a6b0fc24,0.286112
0x24aca552c13b30b77159102be9f3d2e36158708d,0.285769
0x5c1a286e0d868301821fbf8d62ae5a1114bbbb75,0.285472
0xe99e5b01618b922894db0bf4ba8ded7e50814d9f,0.282885
0x885a8bd0aed00e5a042e7bb788fa56c9e0fee5a4,0.282544
0x6a6125e2f8fc4848994090d3baccd9569e26201e,0.282266
0x927a2265253c2c62a5c1330321cb1f3e09895d52,0.282145
0x4eb829bc3c8ec9702a8cb94a4ed9bc02fdcf3a2c,0.277856
0xb042b364b2ac165a261e20a8957d05fc2e31c585,0.275944
0xf32c45669115ee9c99d441f4f8d532afb717ac02,0.275436
0x5a5401df4226e8bce4d1ee6a367f952be5d71dc5,0.274548
0x9f960acd821c28fd9aa9b017aa361b1ae744dcc7,0.274197
0x52820a1934631034a3950eae50368128313f4e57,0.274021
0xb1f6abf3436938d1f87b7a570f1c4b66deec3b86,0.273674
0x518d6c15e03559422db0208dda2f523cf2db17d6,0.273565
0x35d1ca7a982d65c784361501e0aadb1ab1d4cc1b,0.273366
0x31d4dcc55abf901ace6e18188151113b9971740c,0.271249
0x533e2d96981f8a21a12f1d9f80fb4cb185805027,0.270143
0x3cb3d47be9df732e1713a9f30efeb2e162b6f3f6,0.269882
0xc8d9b774f920382e9b69900c9506e7126d3ee899,0.269325
0xf1e2fd9fee154f175910244c82c7b63e7cfc3753,0.269156
0x81bbdcd28e657c1459abf53dcf5974cbf6e4ad5e,0.266822
0x2a7b9fe21485351d5d7fb8065b738054a5c9d3c5,0.266583
0x9a142ca473ac93b8edcdb385c2d14facaa5aed43,0.265594
0xba3298c9fa06016073fe967ab3f9d6705d96315b,0.265139
0x4a64b2820a06a67ee878157a7f48611463d6bd78,0.265065
0x865fcda847083c81e9c3fdf0e4612e13bf5086dc,0.265046
0x9ab4e0cc57b3e0445d5ff34e808d5e68c5f660e3,0.264889
0xc11b85739272920de238f52cda1d79bcc7cdaf4b,0.264624
0x64ec24675d7bbc80f954ff15edd57d381f5b3e1a,0.264624
0x0a8f4e308b17f836eab6493f42e48ac07d30946d,0.264624
0xc9535b697e0b430798443c6ca5a8be257ad368b0,0.262508
0xdfa333bc8bcfab377b8b1018fbb016c4bb91a321,0.261978
0x745eda30af44327424a1686f5aefd6a83d67d182,0.261978
0xef452afb3b57fbd2890636d6f9daf670e3e31f6a,0.261901
0x4ee75000ba5e9ed374fc65b3b079d2c1a61160a6,0.260874
0xfdf3b3b1cfe5f4967daba1719693d589ba790c1c,0.258960
0x829abd0c0c5caf02459be9e8195c7a467b02cc47,0.258170
0x66700d841ac51acefdcb56cfdc549faab0b99b2e,0.257211
0x53846d78c5fb2fd88743cfbcb57320625200e300,0.256466
0xaaab5d6fbaab242c1c0828d378c01044c9f32061,0.248438
0x7693882b1ff768abee7c4f133875800ef791fc4b,0.247540
0xb4e9351ecb3a78451f21f23bac1ad39b7cb1bf80,0.247468
0xc1c1fdadd3f76ff4e34f6f3f0b00f4db9b539a8f,0.247301
0x452fa1fcc2be79df2f78553064db00607d4b4c1e,0.244832
0x94a8e73166cbab79d668159c69eb9f301c0f728f,0.244685
0x5d7d0840a889776d3af75a6a751f0b6e388ba1b6,0.243877
0x941b13448fedf8a00e9de08647d0be73fa9cd4a1,0.243845
0x4f581f8d1263cd30735b213da93d3bfa645e5238,0.243001
0xfb304b6d84974cacfcc3eb9862f8cea66017d8ab,0.242776
0x7af64d3ad1256bd12046ea183df052ac981d8c8f,0.241598
0x151b1064c689ac99c1cdb0ae8511be5f7c636387,0.240755
0x83eddb38f458ae888fbc89a69464d3fd801ea8bc,0.240551
0x6d01fadea0b5dfab1d6501296ba69eed7d73f643,0.239791
0xd9a16328209e4b66506c61aee01bd2f59228d4cc,0.239634
0x7a4cee47bbd2efa89d36088c61b7e3023e1bc4ac,0.239383
0x26d2d947d547f4aebad5d406d6094314c585113c,0.239334
0xaee5687dd215b945867cec635cab64c6527cf3dd,0.238878
